2353,KAZAN,PITER,14.08.2016-01:00,14.08.2016-02:00,332,20
2354,KAZAN,MOSCOW,14.08.2016-02:30,14.08.2016-04:00,432,20
2355,MOSCOW,PITER,14.08.2016-05:00,14.08.2016-06:00,438,20
2356,KAZAN,VORONEZH,14.08.2016-07:45,14.08.2016-09:50,152,20
2357,KAZAN,KRASNODAR,14.08.2016-11:00,14.08.2016-13:00,582,20
2358,KRASNODAR,MOSCOW,14.08.2016-15:00,14.08.2016-17:00,322,20
2359,VORONEZH,MOSCOW,14.08.2016-18:00,14.08.2016-20:00,492,20
2360,PITER,ROSTOV,14.08.2016-21:00,14.08.2016-22:00,452,20
2361,PITER,KAZAN,15.08.2016-01:00,15.08.2016-03:00,157,20
2362,PITER,KRASNODAR,15.08.2016-04:00,15.08.2016-05:00,190,20
